Review_ID,Subject,Relation,Object
0,representative,await,you
0,custom,do,check
0,receptionist,know,name
0,they,take,you
0,they,tell,you
0,we,take,tour
0,Kayumanis,take,kid
0,son,join,we
0,Kayumanis,treat,request
0,we,know,this
0,they,make,difference
1,child,have,cottage
1,Johan,give,activity
2,we,book,night
2,you,face,road
2,we,face,road
2,we,face,road
3,I,recommend,restaurant
4,that,accept,dog
4,you,choose,stay
5,you,have,transportation
5,we,have,time
6,breakfast,offer,choice
6,who,plan,tour
6,we,enjoy,cumquat
6,we,enjoy,stay
7,we,take,night
8,we,miss,flight
8,desk,offer,advice
8,Palace,take,day
8,you,see,everything
8,we,use,tripadvisor
8,we,use,Restaurant
8,you,ask,they
8,I,recommend,Hotel
8,we,love,Istanbul
9,we,spend,night
9,we,have,living
9,I,enjoy,turtle
9,curtain,block,light
9,we,use,refrigerator
9,they,provide,shampoo
9,whirlpool,have,jet
9,you,have,car
10,word,convey,experience
10,word,convey,husband
10,staff,do,anything
10,everyone,greet,you
10,we,pack,it
10,we,have,problem
10,post,have,idea
10,I,give,hope
10,I,see,dress
10,we,book,stay
10,I,ask,hotel
10,I,give,number
10,we,sort,detail
10,I,receive,e
10,I,receive,-
10,I,receive,mail
10,they,locate,package
10,staff,put,effort
10,they,take,we
10,that,make,error
11,you,get,luxury
11,you,have,sense
11,hotel,radiate,tranquility
11,that,influence,state
12,I,have,time
12,room,have,fridge
12,hotel,let,you
12,aspect,drive,myriad
12,you,familiarize,yourself
12,hotel,have,advantage
12,you,encounter,that
12,you,get,feel
13,place,have,feeling
15,Taxis,take,minute
17,I,see,castle
17,I,have,time
17,I,send,email
17,I,get,answer
17,they,check,email
17,lover,miss,stay
17,room,have,space
17,it,have,corridor
17,you,take,call
17,I,hate,bed
17,room,take,time
17,I,see,picture
17,I,have,moment
17,I,have,breakfast
17,home,make,cake
17,anybody,have,time
17,I,reccomend,place
18,staff,do,job
18,I,give,star
18,I,give,1
18,room,have,clipping
18,I,request,refund
18,they,move,we
19,party,celebrate,event
19,checking,have,treatment
19,they,book,which
19,that,have,pressure
19,you,pay,dollar
19,you,expect,quality
20,we,ask,desk
20,we,have,extra
20,breakfast,leave,lot
21,they,like,we
21,lack,run,condition
22,I,ask,they
23,window,bring,light
23,that,include,dinner
23,you,have,experience
23,I,recommend,inn
24,that,ensure,return
26,we,love,it
26,what,keep,we
26,husband,battle,illness
26,we,need,getaway
26,you,undergo,chemotherapy
26,staff,know,he
26,chef,accommodate,request
26,they,mean,it
26,we,praise,people
27,we,leave,partner
27,I,love,turn
27,I,recommend,anyone
28,I,spend,day
28,they,hold,party
28,it,mar,one
28,they,hold,party
28,I,tell,you
28,I,tell,you
29,bar,offer,service
29,we,have,dinner
30,I,have,group
30,everyone,have,number
30,I,question,clerk
30,they,help,I
30,I,locate,hotel
32,old,beat,furniture
32,I,rate,restaurant
32,they,give,cookie
33,husband,spend,night
33,we,have,butler
33,we,use,service
33,we,receive,massage
33,they,give,cake
33,we,celebrate,anniversary
33,our,stay,one
35,establishment,provide,level
36,Intercontinental,combine,view
36,hotel,have,center
37,couple,attend,resort
38,you,have,good
39,that,mean,issue
39,we,encounter,problem
40,I,encounter,dump
40,they,have,cheek
40,I,like,pillow
40,I,take,they
40,she,think,what
40,she,bin,they
40,she,accompany,I
40,I,take,those
40,I,mention,toilet
40,it,match,rest
40,I,pull,bedspread
40,member,assure,I
40,dust,cover,surface
40,floor,have,nail
40,we,pack,car
40,they,play,card
40,I,understand,lack
40,I,have,idea
40,reviewer,praise,they
