Review_ID,Subject,Relation,Object,Sentiment
0,representative,await,you,0.1027
0,custom,do,check,0.0
0,receptionist,know,name,0.0
0,they,take,you,0.0
0,they,tell,you,0.0
0,we,take,tour,0.0
0,Kayumanis,take,kid,0.0
0,son,join,we,0.296
0,Kayumanis,treat,request,0.4019
0,we,know,this,0.0
0,they,make,difference,0.0
1,child,have,cottage,0.0
1,Johan,give,activity,0.0
2,we,book,night,0.0
2,you,face,road,0.0
2,we,face,road,0.0
2,we,face,road,0.0
3,I,recommend,restaurant,0.3612
4,that,accept,dog,0.3818
4,you,choose,stay,0.0
5,you,have,transportation,0.0
5,we,have,time,0.0
6,breakfast,offer,choice,0.0
6,who,plan,tour,0.0
6,we,enjoy,cumquat,0.4939
6,we,enjoy,stay,0.4939
7,we,take,night,0.0
8,we,miss,flight,-0.1531
8,desk,offer,advice,0.0
8,Palace,take,day,0.0
8,you,see,everything,0.0
8,we,use,tripadvisor,0.0
8,we,use,Restaurant,0.0
8,you,ask,they,0.0
8,I,recommend,Hotel,0.3612
8,we,love,Istanbul,0.6369
9,we,spend,night,0.0
9,we,have,living,0.0
9,I,enjoy,turtle,0.4939
9,curtain,block,light,-0.4404
9,we,use,refrigerator,0.0
9,they,provide,shampoo,0.0
9,whirlpool,have,jet,0.0
9,you,have,car,0.0
10,word,convey,experience,0.0
10,word,convey,husband,0.0
10,staff,do,anything,0.0
10,everyone,greet,you,0.3182
10,we,pack,it,0.0
10,we,have,problem,-0.4019
10,post,have,idea,0.0
10,I,give,hope,0.4404
10,I,see,dress,0.0
10,we,book,stay,0.0
10,I,ask,hotel,0.0
10,I,give,number,0.0772
10,we,sort,detail,0.0
10,I,receive,e,0.0
10,I,receive,-,0.0
10,I,receive,mail,0.0
10,they,locate,package,0.0
10,staff,put,effort,0.0
10,they,take,we,0.0
10,that,make,error,-0.4019
11,you,get,luxury,0.0
11,you,have,sense,0.0
11,hotel,radiate,tranquility,0.4215
11,that,influence,state,0.0
12,I,have,time,0.0
12,room,have,fridge,0.0
12,hotel,let,you,0.0
12,aspect,drive,myriad,0.0
12,you,familiarize,yourself,0.0
12,hotel,have,advantage,0.25
12,you,encounter,that,0.0
12,you,get,feel,0.0
13,place,have,feeling,0.128
15,Taxis,take,minute,0.0
17,I,see,castle,0.0
17,I,have,time,0.0
17,I,send,email,0.0
17,I,get,answer,0.0
17,they,check,email,0.0
17,lover,miss,stay,0.4939
17,room,have,space,0.0
17,it,have,corridor,0.0
17,you,take,call,0.0
17,I,hate,bed,-0.5719
17,room,take,time,0.0
17,I,see,picture,0.0
17,I,have,moment,0.0
17,I,have,breakfast,0.0
17,home,make,cake,0.0
17,anybody,have,time,0.0
17,I,reccomend,place,0.0
18,staff,do,job,0.0
18,I,give,star,0.0
18,I,give,1,0.0
18,room,have,clipping,0.0
18,I,request,refund,0.0
18,they,move,we,0.0
19,party,celebrate,event,0.7506
19,checking,have,treatment,0.0
19,they,book,which,0.0
19,that,have,pressure,-0.296
19,you,pay,dollar,-0.1027
19,you,expect,quality,0.0
20,we,ask,desk,0.0
20,we,have,extra,0.0
20,breakfast,leave,lot,-0.0516
21,they,like,we,0.3612
21,lack,run,condition,-0.3182
22,I,ask,they,0.0
23,window,bring,light,0.0
23,that,include,dinner,0.0
23,you,have,experience,0.0
23,I,recommend,inn,0.3612
24,that,ensure,return,0.3818
26,we,love,it,0.6369
26,what,keep,we,0.0
26,husband,battle,illness,-0.6486
26,we,need,getaway,0.0
26,you,undergo,chemotherapy,0.0
26,staff,know,he,0.0
26,chef,accommodate,request,0.0
26,they,mean,it,0.0
26,we,praise,people,0.5574
27,we,leave,partner,-0.0516
27,I,love,turn,0.6369
27,I,recommend,anyone,0.3612
28,I,spend,day,0.0
28,they,hold,party,0.4019
28,it,mar,one,0.0
28,they,hold,party,0.4019
28,I,tell,you,0.0
28,I,tell,you,0.0
29,bar,offer,service,0.0
29,we,have,dinner,0.0
30,I,have,group,0.0
30,everyone,have,number,0.0772
30,I,question,clerk,0.0
30,they,help,I,0.4019
30,I,locate,hotel,0.0
32,old,beat,furniture,0.0
32,I,rate,restaurant,0.0
32,they,give,cookie,0.0
33,husband,spend,night,0.0
33,we,have,butler,0.0
33,we,use,service,0.0
33,we,receive,massage,0.0
33,they,give,cake,0.0
33,we,celebrate,anniversary,0.5719
33,our,stay,one,0.0
35,establishment,provide,level,0.0
36,Intercontinental,combine,view,0.0
36,hotel,have,center,0.0
37,couple,attend,resort,0.0
38,you,have,good,0.4404
39,that,mean,issue,0.0
39,we,encounter,problem,-0.4019
40,I,encounter,dump,-0.3818
40,they,have,cheek,0.0
40,I,like,pillow,0.3612
40,I,take,they,0.0
40,she,think,what,0.0
40,she,bin,they,0.0
40,she,accompany,I,0.0
40,I,take,those,0.0
40,I,mention,toilet,0.0
40,it,match,rest,0.0
40,I,pull,bedspread,0.0
40,member,assure,I,0.34
40,dust,cover,surface,0.0
40,floor,have,nail,0.0
40,we,pack,car,0.0
40,they,play,card,0.34
40,I,understand,lack,-0.3182
40,I,have,idea,0.0
40,reviewer,praise,they,0.5574
40,idea,have,appeal,0.0
40,I,form,impression,0.2263
41,place,give,rate,0.0
42,hotel,offer,breakfast,0.0
42,I,jog,station,0.0
45,hotel,need,money,0.0
46,I,suppose,all,0.0
46,area,have,lot,0.0
46,I,use,it,0.0
47,area,have,mixture,0.0
47,Most,be,something,0.0
49,it,have,poll,0.0
49,rest,leave,space,-0.0516
49,it,need,scrub,0.0
50,it,have,atmosphere,0.0
51,hotel,use,refurbishing,0.0
52,we,rent,suite,0.0
52,kid,love,pool,0.6369
53,I,see,thing,0.0
53,you,want,place,0.0772
53,you,leave,hotel,-0.0516
53,walk,have,cushion,0.0
53,cook,have,attitude,0.0
53,bartender,have,choice,0.0
53,bartender,have,service,0.0
55,we,like,Samantha,0.3612
55,who,drive,shuttle,0.0
56,hotel,have,garage,0.0
56,you,park,care,0.4939
56,staff,do,good,0.4404
56,your,stay,one,0.0
56,I,have,room,0.0
56,I,have,window,0.0
56,I,air,it,0.0
57,people,hear,traffic,0.0
57,you,hear,traffic,0.0
57,Breakfast,have,lot,0.0
57,I,skip,it,0.0
58,you,get,suite,0.0
59,visitor,think,what,0.0
59,which,leave,I,-0.0516
59,I,order,Soup,0.0
60,who,answer,phone,0.0
60,room,lack,spark,-0.1027
60,PSU,run,school,0.0
60,I,need,flop,-0.34
60,I,rule,stay,0.0
63,we,enter,room,0.0
64,they,keep,it,0.0
65,we,enjoy,several,0.4939
66,I,sum,visit,0.0
66,property,boast,staff,0.0
66,who,ensure,you,0.3818
67,they,have,Budget,0.0
67,it,take,they,0.0
67,we,ask,staff,0.0
68,we,love,fireplace,0.6369
69,I,book,hotel,0.0
69,people,check,place,0.0
69,who,climb,stair,0.0
69,who,have,issue,0.0
69,you,need,customization,0.0
69,they,have,plenty,0.0
69,it,match,appetite,0.0
69,floor,have,room,0.0
69,room,have,bed,0.0
69,service,top,it,0.2023
69,service,win,heart,0.8402
71,we,have,time,0.0
71,I,recommend,tour,0.3612
71,we,love,which,0.6369
71,they,offer,tour,0.0
71,staff,have,water,0.0
71,they,have,bicycle,0.0
71,I,recommend,Kaumanis,0.3612
72,we,recommend,it,0.3612
74,it,give,run,0.0
75,we,love,it,0.6369
75,chef,take,you,0.0
75,we,spend,hour,0.0
76,Sofitel,ask,amount,0.0
76,Sofitel,ask,quality,0.0
76,they,get,what,0.0
76,manager,care,which,0.4939
76,room,require,window,0.0
76,you,have,view,0.0
76,trafic,disturb,stay,-0.4019
76,Hotels,invest,litlle,0.0
76,Hotels,invest,money,0.0
76,you,want,breakfast,0.0772
76,customer,deserve,screen,0.0
76,employee,speak,English,0.0
76,sofitel,offer,bottle,0.0
76,price,cost,rmb,0.0
76,Hotels,spend,money,0.0
76,you,spend,money,0.0
76,we,say,bottle,0.0
76,housekeeping,prepare,room,0.0
76,you,get,biscuit,0.0
76,gym,have,name,0.0
77,we,face,courtyard,0.0
77,who,take,we,0.0
77,we,appreciate,hospitality,0.4019
79,they,lose,mat,-0.4019
79,we,enjoy,stay,0.4939
80,company,use,hotel,0.0
80,room,overlook,sea,0.0
80,room,overlook,street,0.0
80,hotel,have,deal,0.0
80,I,recommend,it,0.3612
81,Ian,do,more,0.0
81,lisa,deliver,meal,0.0
81,service.jaconneli,play,music,0.34
82,we,have,car,0.0
82,you,have,breakfast,0.0
82,you,have,charm,0.4019
86,he,show,wife,0.0
86,he,show,lot,0.0
87,I,swim,lap,0.0
87,I,swim,pool,0.0
87,resort,provide,return,0.0
87,staff,sing,song,0.0
87,who,bring,cake,0.0
87,which,include,bath,0.0
87,they,do,job,0.0
87,our,stay,one,0.0
87,you,expect,what,0.0
87,they,have,lounge,0.0
87,resort,improve,menu,0.4404
87,we,have,time,0.0
88,room,receive,room,0.0
89,I,book,hotel,0.0
89,I,enjoy,it,0.4939
89,we,love,it,0.6369
92,manager,arrange,taxi,0.0
92,we,love,room,0.6369
95,I,like,system,0.3612
96,we,celebrate,birthday,0.5719
96,treatment,be,good,0.4404
97,I,write,review,0.0
97,you,enter,riad,0.0
97,Bouchra,help,we,0.4019
97,we,enjoy,breakfast,0.4939
97,we,recommend,riad,0.3612
100,I,state,day,0.0
100,they,treat,guest,0.4019
100,they,do,guest,0.0
100,they,do,favor,0.4019
101,we,dislike,food,-0.3818
102,we,have,time,0.0
102,we,have,meal,0.0
102,wife,eat,egg,0.0
102,we,fit,kind,0.7096
103,I,travel,lot,0.0
105,check,take,minute,0.0
105,in,take,minute,0.0
105,we,need,that,0.0
105,we,take,trip,0.0
105,we,take,ride,0.0
105,kid,enjoy,which,0.4939
105,wife,sign,that,0.0
105,I,say,enough,0.0
105,I,recommend,stay,0.3612
106,staff,congratulate,we,0.4939
106,we,take,plane,0.0
106,Wilfried,offer,check,0.0
106,we,have,course,0.0
107,which,share,space,0.296
