hotel_url,text,rating
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"We went here with our kids for Xmas holiday and we really liked it. Large options of food for breakfast and lunch , you can really taste the quality of the food in there. The surrounding area is nice and clean. Good experience. Hardly recommended .",5
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"We have spent in this hotel our summer holidays both in summer 2014 and 2015- I was with my husband and my child ( 4 years old at present). I do really recommend this place- Staff si high qualified, Kind and really helpful- Animation staff get You involved, but always with discrection - Miniclub si super and activities offered are interesting and smart- Rooms clean, with AC and balcony- Restaurant offers a great selection of food - always. The beach si extremly closed to the hotel - Miniclub area offers some gazebos to have shade for kids- A lot of bicycles are available for free- I am completely satisfied of this hotel- Go in lime this!",5
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"I visited Hotel Baltic with my husband for some bike riding in the area, thinking it would just be another hotel. I was so wrong. We don't have children, but were so amazed at the attention to detail and kindness we experienced from every member of the staff. It was truly amazing.",5
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"I've travelled quite a numbers of hotels but this is the best place you can achieve with an excellent ratio quality/money. The equipe is really excellent. The restaurant's staff and the chef are perfect. Menu is always varying. Bar service is really fantastic. On the beach rather than in the hotel, anything is perfect and our holiday went like a dream. Although prices could seems quite high, you must consider that you could even forget your wollet at home. You'll never be required to spend any money. Kids are always happy and miniclub staff is really efficient. My daughter crying for our leaving could explain better what I'm writing.",5
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"We decided for this family holiday destination after we saw its ranking in the family hotel 2013 reviews. It has kept its promises. Plus: - all staff is extremely kind and willing to help you at any time - great attention to the confort of kids - private playground in front of the hotel in a pinery providing shade all day long - great breakfast - beach umbrella and deck chairs assigned to guests on the beach right in front of the hotel - great kids menu also during weaning - lots of activities for kids (and parents as well, if you wish so) - free baby club for 1-3 years old - swimming pool with children's corner (not big but works fine) - it feels like being home - two gazebo on the beach used for the mini-clubs - massages available all day long ( not spa) - beach towels provided Minus (because perfection is impossible) - restaurant tends to be a bit slow - beach gazebo for the bigger kids a bit too small in the midday sun Just a couple of notes: - if you don't mind the first floor you can avoid the elevators (at peak times there's some queing up to do) - booking is a bit messy, better to double check to make sure everything's fine - if your bed is unconfortable you can try and get it changed, if we had known it before we would have done so Overall a great time! It would deserve 4 stars from a service perspective.",4
Hotel_Review-g194775-d1121769-Reviews-Hotel_Baltic-Giulianova_Province_of_Teramo_Abruzzo.html,"Great customer service and good restaurant service is what made this experience so wonderful for my family. Giulianuova is a pretty simple , not so ""wow"" town, with not very clean beaches as I was expecting when booking my reservation. What saved my vacation was staying at Baltic. Baltic is a very simple but functional hotel, but what makes it so special are the people that work there. It seems that as a part of their job training they had take some kind of class on humanity and spirituality, because the way they treat every single person with respect and smile is just amazing. Good job to the manager Massimo (who knows how to hire great people)!",4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"This pousada is not too close to the downtown area but you can stroll along the canal to get there. It is about 2.5km far. Nice breakfast in the morning and nice staff. The only problem was that there are no air conditioning in the rooms and it was really hot in December. Overall , we would go back there.",3
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"Great hotel surrounded by nature! It was really quiet and quaint. Not much English is spoken by the staff (thankful for Google translate)! Breakfast was good selection overlooking the garden. The room was comfortable, clean and spacious. With the hotel being surrounded by nature there were a lot of mosquitoes :( It was about a 15-20 minute walk to the centre of town. It was a pleasant and picturesque walk along the water - although not well lit in the evening, so we caught a taxi back in the late evening.",4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"The property is surrounded by trees, which are teeming with birds and inquisitive miniature monkeys who venture onto the balconies looking for treats of papaya from the staff and guests. The rooms are large and comfortable with high ceilings, cable TV, and hot showers. Breakfast was included, with an amazing selection of fruits, bread, cereals and hot food like eggs and local sausage casserole.",5
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"We really enjoyed our stay here, it was peaceful and quiet. There was plenty of room to relax in and hangout at the pool. It's around 20mins walk from the main Centre. They also serve a delicious breakfast. Just be wary of the mosquitos at night in the rooms, I got bit everywhere!",4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,Nice place to stay. Good pool and area to relax. Pool table and decent wifi in common areas. Breakfast was very good and the rooms have lots of space. Very clean and comfortable. One problem was lots of mosquitos even in our room. I think this is a paraty problem rather than hotel problem but the room lacked a mosquito net and we where bitten all over. Shower was nice and warm. Location is just out of town. 10min walk and the hotel will provide a map. Overall a nice place and good stay,4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"I had a very pleasant stay at this hotel! All the staff were very friendly, attentive and made me feel at home. They can book boat tours for you as well at the reception. Rooms are very cozy and there is a small swimming pool to enjoy. Great place for nature lovers!!",5
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"Well, this hotel stands out from the crowd, so it is worth a bit extended review. To keep it short, we loved the stay and would come again. The highlights include: 1. Monkeys! They have super cute monkeys (small ones, the size of a cat) leaving on the trees, everyone loved them! 2. The rooms are perfectly clean and have a lot of character. 3. The breakfast was really really nice 4. The staff was very helpful 5. Overall, it was nice and relaxing. On the negative side: 1. Wi-Fi had issues 2. It's about 25 mins walk to the Old Town. It's good, because it's quiet and parking is easy, but it's a personal preference. 3. The rooms open up into the courtyard, so if you want to sleep late, you may get woken up by guests eating breakfast. It didn't bother us and we had great sleep. Overall, we loved it.",5
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"The attendance is very good, but faced issues with wifi and hot water for shower. For the breakfast today they faced gas issues, so the hot stuff was missing like eggs, hot coffe and other kind of hot food. In spit of that has a great accommodations and guiding services are quite nice!",3
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"The pousada is like 30 minute walk to the center of the town but it's really a nice place to stay esp if you have a car! Our room was big for 3 people, very comfy bed, with really nice staff - the girl on night shift spoke english and very helpful. We love the breakfast, had a lot of options from cake, fruits and hot dishes aside from freshly squezed juice! Another highlight was the small monkeys jumping around the property. Highly recommended this place!",5
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"I stayed here in July 2014 and it was nice. The place is outside the city centre, about 20 minute walk into town. The rooms were clean and comfortable, but not luxurious. The breakfast was ok, a lot to choose from. The staff was the best asset, very friendly and accommodating. I had dinner there one night and the food was excellent. One kid who worked there spoke, French, Spanish and English. But I think he only works there during the school vacation... no one else spoke English. I would stay there again",4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"Stayed at Rumo Dos Ventos from 9th to 12th November. Situation on the outskirts of the town, the hotel was clean and peaceful. The walk into town take 20 minutes along the river with wonderful views of the mountain backdrop. The rooms were clean and comfortable, the breakfast excellent, and the staff very friendly and attentive",4
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,"We stayed at the hotel in April 2013 and we are very pleased with the beauty, peacefulness and care of the place. The main river passes just behind, my suggestion is the boat ride that starts from inside the inn and reaches the sea. Just minutes from the historic center, you can enjoy the nature and the city. The restaurant is excellent, my tip is to order the grilled stingray with a glass of wine.",5
Hotel_Review-g303503-d1735469-Reviews-Pousada_Rumo_dos_Ventos-Paraty_State_of_Rio_de_Janeiro.html,It's just an amazing place to stay in Parati. Rent a boat and take a ride through the river and beaches. It's just beautiful. The food of the hotel is even better than the restaurants in town. Explore the historical center and enjoy the festivities.,5
