id,rating,avg_sentiment,min_sentiment,max_sentiment,node2vec_0,node2vec_1,node2vec_2,node2vec_3,node2vec_4
0,5,0.072781818,0,0.4019,1.095443249,1.297010303,0.77552104,-0.333856255,0.013184315
1,5,0,0,0,1.879153848,1.223920345,1.670186639,-1.397388697,-1.504893064
2,4,0,0,0,-0.247576669,2.62054038,0.394438267,-1.162801147,-0.153829351
3,5,0.3612,0.3612,0.3612,0.46179378,3.425788879,1.063034177,-1.460531235,1.06742847
4,5,0.1909,0,0.3818,-0.446320236,1.943309188,2.167743683,0.332878143,-0.934928954
5,5,0,0,0,1.020212889,1.265381694,1.765017271,0.275649637,-0.322214156
6,5,0.24695,0,0.4939,0.370057672,2.420182943,0.449687332,-0.487657934,-1.124373555
7,4,0,0,0,0.012476389,1.842942119,0.120673142,-0.64713788,-0.448439419
8,5,0.093888889,-0.1531,0.6369,0.055741817,1.603296399,1.220474482,-0.373482198,-1.512126923
9,4,0.0066875,-0.4404,0.4939,0.584758759,1.347046256,0.84517771,-0.549103141,-0.058130231
10,5,0.0016,-0.4019,0.4404,0.887064517,1.760857105,0.218798801,-0.41809234,-1.011695147
11,5,0.105375,0,0.4215,0.70840776,0.657881916,0.621139586,-0.34724921,-0.230450809
12,5,0.03125,0,0.25,0.016529439,1.803117394,1.16821909,-0.221167579,-1.718518496
13,5,0.128,0.128,0.128,0.439191967,0.792404592,0.622961044,-0.031782895,-0.219673529
15,3,0,0,0,2.30170393,1.201374769,2.6345613,0.073740169,-2.088135481
17,5,-0.004588235,-0.5719,0.4939,0.339853734,1.199811816,0.530011833,-0.156620532,-0.623948872
18,2,0,0,0,0.715044677,1.187699318,0.464800686,-0.520785034,-0.615088105
19,4,0.05865,-0.296,0.7506,0.328476548,1.118771911,1.367452264,-0.059881821,-0.658819914
20,3,-0.0172,-0.0516,0,0.440890998,1.256100416,0.87081176,-0.436916322,-0.219226539
21,1,0.0215,-0.3182,0.3612,0.338944823,0.772621334,0.354164243,-0.296884298,-0.395707399
22,2,0,0,0,0.186796278,0.541719079,0.426722407,-0.191649586,-0.139833197
23,5,0.0903,0,0.3612,0.353487968,1.415830612,0.95179528,-0.125376195,0.111734539
24,4,0.3818,0.3818,0.3818,0.108820252,0.280964881,0.134860322,-0.104416817,-0.075629689
26,5,0.060633333,-0.6486,0.6369,0.535408616,1.1518085,0.630917549,-0.151463941,-0.18888174
27,5,0.3155,-0.0516,0.6369,0.299030274,0.588672638,0.164053246,-0.111905895,-0.350989133
28,5,0.133966667,0,0.4019,0.279134244,0.825030446,0.628851295,-0.135025695,-0.117282271
29,4,0,0,0,0.291223168,1.035573006,0.777945936,-0.652193069,-0.666672468
30,1,0.09582,0,0.4019,0.461611688,1.59294641,0.526327014,-0.257207602,0.140963092
32,1,0,0,0,-0.574651241,4.870826244,0.580233872,-0.591388822,-0.224648342
33,5,0.0817,0,0.5719,0.358856738,0.785950303,0.41018945,-0.090179227,-0.25898695
35,4,0,0,0,1.012071371,1.296575427,0.992705107,-0.865297735,-0.212829322
36,5,0,0,0,0.490929037,0.90688324,0.808612943,-0.265897691,-0.517514944
37,5,0,0,0,0.582464755,1.071666479,0.954679787,-0.637310684,-0.311257809
38,5,0.4404,0.4404,0.4404,-0.178135872,1.544887304,1.710297585,-0.168365657,-0.874050975
39,4,-0.20095,-0.4019,0,0.2629022,0.632239282,0.448117465,-0.243742228,-0.185321584
40,1,0.053566667,-0.3818,0.5574,0.700832009,1.341357708,0.891537964,-0.527974546,-0.402474105
41,4,0,0,0,0.224334538,1.07911849,0.610938549,-0.174106255,-0.329961538
42,5,0,0,0,0.597699404,0.635871649,0.991859138,-0.674742043,-0.557223201
45,4,0,0,0,0.264991283,1.02746737,0.468248963,-0.262151331,-0.340388149
46,3,0,0,0,0.51047647,0.850682259,0.887690604,-0.247576341,0.078850761
47,3,0,0,0,0.201225579,0.967692196,1.036988854,-1.055225134,-0.214193135
49,2,-0.0172,-0.0516,0,0.3672342,1.221953988,0.54791826,-0.014700347,-0.702907562
50,5,0,0,0,0.729660809,2.375767231,0.101246931,-0.31880495,-1.103451967
51,3,0,0,0,0.295906216,0.460829496,0.345839381,-0.32813713,-0.04028054
52,4,0.31845,0,0.6369,0.372283578,0.811287463,0.781452298,-0.353382647,-0.37258637
53,2,0.003657143,-0.0516,0.0772,0.261799186,0.873805642,0.856627345,-0.525076687,-0.230394229
55,5,0.1806,0,0.3612,0.516277611,0.971754014,0.547989368,-0.565705538,-0.075689703
56,5,0.133471429,0,0.4939,0.315860748,0.668454707,0.783113182,-0.11108087,-0.411407769
57,5,0,0,0,0.330055803,0.583306015,0.475714296,-0.062707916,0.006759825
58,5,0,0,0,0.181783587,0.94037056,0.816677988,-0.233560041,-0.197294146
59,4,-0.0172,-0.0516,0,0.382454753,0.639055014,0.591150045,-0.082095467,-0.223079562
60,2,-0.08854,-0.34,0,0.024663417,-0.015323993,-0.017073622,-0.008518425,0.037914149
63,2,0,0,0,0.189175516,0.601590633,0.615631819,-0.224663392,-0.06418398
64,4,0,0,0,0.281199813,0.572121561,0.282834977,-0.272815198,-0.045861028
65,5,0.4939,0.4939,0.4939,0.683658004,1.21174407,1.092549801,0.06562259,-0.030473156
66,5,0.127266667,0,0.3818,0.589726508,1.495975614,0.495438725,-0.270441115,-0.220570728
67,3,0,0,0,0.367900163,0.691323757,0.521520853,-0.010762252,-0.297563463
68,5,0.6369,0.6369,0.6369,0.359747946,0.698797166,0.418974012,-0.277870089,-0.019252473
69,5,0.094772727,0,0.8402,0.011062774,0.626137435,0.555137634,-0.413415879,-0.564564824
71,5,0.194185714,0,0.6369,0.246404111,0.404560059,0.435066938,-0.034853488,-0.376459837
72,5,0.3612,0.3612,0.3612,0.141332164,0.129782826,0.216564104,-0.04752709,-0.01514388
74,5,0,0,0,0.410414934,0.551185727,0.370624572,-0.13626866,-0.363603204
75,5,0.2123,0,0.6369,0.129079014,0.695785761,0.584859014,-0.254976869,-0.41352734
76,3,0.00846,-0.4019,0.4939,0.588951707,1.037211895,0.745837688,-0.13932471,-0.283068001
77,5,0.133966667,0,0.4019,0.202801049,1.058015347,0.704081774,-0.183444008,-0.985906482
79,5,0.046,-0.4019,0.4939,0.131623417,0.390313268,0.446792126,-0.171890885,-0.010248115
